Id,SalePrice
1461,122024.12
1462,162332.61
1463,187472.84
1464,182955.78
1465,212036.12
1466,177815.19
1467,169295.19
1468,171117.11
1469,195689.3
1470,127454.15
1471,195485.94
1472,98253.6
1473,102600.336
1474,155339.3
1475,138847.98
1476,456626.6
1477,264180.3
1478,317945.16
1479,250389.61
1480,486436.84
1481,321101.22
1482,207155.2
1483,180126.28
1484,176241.94
1485,169586.77
1486,203727.06
1487,389415.22
1488,233067.4
1489,215312.9
1490,200795.11
1491,185797.42
1492,90185.19
1493,203952.27
1494,288555.7
1495,290055.88
1496,237020.34
1497,175474.73
1498,163790.64
1499,158020.25
1500,131566.16
1501,194743.78
1502,160691.3
1503,329907.12
1504,226854.42
1505,219802.12
1506,182362.97
1507,220139.89
1508,202651.77
1509,164377.22
1510,146723.12
1511,142817.23
1512,176482.38
1513,153059.67
1514,180543.34
1515,195602.52
1516,157412.73
1517,164816.34
1518,127920.414
1519,227664.45
1520,136330.14
1521,139796.7
1522,159675.53
1523,111229.2
1524,113167.39
1525,128746.03
1526,122576.63
1527,105356.914
1528,127484.445
1529,147042.94
1530,171992.3
1531,122322.15
1532,99074.12
1533,149833.69
1534,111144.79
1535,164990.64
1536,114016.76
1537,60178.535
1538,180531.75
1539,204876.4
1540,96478.37
1541,146873.73
1542,162896.23
1543,222951.23
1544,102217.63
1545,108077.914
1546,129939.28
1547,138100.86
1548,139625.67
1549,116349.89
1550,154389.55
1551,111662.164
1552,161900.3
1553,153953.16
1554,103216.58
1555,177184.78
1556,92560.59
1557,123370.17
1558,96779.46
1559,84968.41
1560,133379.08
1561,145362.97
1562,128128.15
1563,122977.875
1564,155644.86
1565,164135.08
1566,201067.08
1567,68507.95
1568,233280.53
1569,131857.92
1570,129917.09
1571,119650.01
1572,135644.45
1573,241901.38
1574,113581.84
1575,200861.81
1576,240763.89
1577,209220.58
1578,155187.5
1579,148552.7
1580,185957.84
1581,151142.47
1582,125537.12
1583,324222.53
1584,231175.11
1585,140487.61
1586,61887.098
1587,99962.64
1588,150690.42
1589,108264.516
1590,138090.25
1591,100736.31
1592,126044.56
1593,117774.664
1594,122353.484
1595,112700.79
1596,236003.47
1597,175947.1
1598,201776.62
1599,195177.08
1600,182843.23
1601,78698.33
1602,122412.52
1603,90592.93
1604,270132.28
1605,242972.6
1606,170468.17
1607,170671.38
1608,206264.36
1609,203896.19
1610,163060.89
1611,142765.47
1612,157260.95
1613,169902.23
1614,123961.586
1615,86194.836
1616,76354.836
1617,89583.53
1618,132793.69
1619,136513.14
1620,153787.56
1621,136278.45
1622,140101.89
1623,280133.7
1624,235897.98
1625,113283.35
1626,170674.84
1627,188928.48
1628,279580.8
1629,178175.97
1630,343071.6
1631,226613.61
1632,245210.28
1633,169286.53
1634,186612.3
1635,174110.78
1636,157216.52
1637,170480.92
1638,210591.84
1639,175651.53
1640,232398.17
1641,185538.52
1642,220849.28
1643,211282.7
1644,235967.03
1645,177421.73
1646,153933.97
1647,161409.5
1648,132905.05
1649,140321.3
1650,114839.94
1651,119539.1
1652,97264.28
1653,106372.375
1654,150782.55
1655,157855.55
1656,147287.14
1657,152641.72
1658,147516.58
1659,143491.2
1660,145818.94
1661,452504.84
1662,405879.53
1663,407089.03
1664,505501.3
1665,322273.7
1666,325810.53
1667,392300.2
1668,320344.62
1669,283004.12
1670,334576.22
1671,255204.61
1672,494652.16
1673,280011.9
1674,239129.22
1675,194634.73
1676,193362.31
1677,227240.69
1678,471832.56
1679,389015.72
1680,344984.78
1681,242348.69
1682,293429.97
1683,178971.77
1684,170650.62
1685,177985.67
1686,165907.94
1687,169951.42
1688,184259.67
1689,187231.45
1690,182573.61
1691,180919.95
1692,319639.72
1693,165673.97
1694,189425.12
1695,168262.02
1696,257587.81
1697,175679.02
1698,336651.03
1699,342040.25
1700,265480.7
1701,264602.03
1702,256932.19
1703,241268.5
1704,281925.4
1705,249321.22
1706,495375.25
1707,221366.78
1708,219451.8
1709,267181.38
1710,234858.31
1711,252548.17
1712,225752.58
1713,253878.94
1714,225758.5
1715,210926.42
1716,179656.36
1717,162799.27
1718,116013.07
1719,198180.88
1720,262322.4
1721,160830.06
1722,117552.49
1723,152679.28
1724,212428.66
1725,234756.33
1726,189707.3
1727,176167.52
1728,172258.34
1729,162657.7
1730,163866.52
1731,124718.164
1732,131572.31
1733,117460.29
1734,110114.55
1735,126786.67
1736,122721.2
1737,309624.56
1738,231383.83
1739,269254.34
1740,245729.39
1741,201469.36
1742,183847.16
1743,172570.88
1744,304933.0
1745,251340.69
1746,240553.61
1747,228784.28
1748,202883.33
1749,153595.98
1750,130665.97
1751,227882.62
1752,123545.74
1753,151440.14
1754,195861.4
1755,161181.86
1756,138066.14
1757,127658.13
1758,150608.1
1759,179366.02
1760,156864.08
1761,138984.08
1762,164575.22
1763,164087.83
1764,117955.82
1765,165609.72
1766,170005.2
1767,214032.06
1768,143825.83
1769,167853.33
1770,139300.11
1771,133955.22
1772,163174.47
1773,147293.81
1774,123012.02
1775,141674.5
1776,135230.47
1777,110537.2
1778,142294.16
1779,122656.38
1780,185922.2
1781,132323.69
1782,95617.65
1783,125903.78
1784,103060.55
1785,120651.14
1786,144667.02
1787,167540.44
1788,62216.203
1789,96101.98
1790,95401.836
1791,180819.03
1792,152668.4
1793,127642.9
1794,151013.27
1795,141522.8
1796,137385.94
1797,130408.016
1798,125823.32
1799,126025.5
1800,136546.8
1801,130029.97
1802,142071.94
1803,152645.39
1804,154802.55
1805,133642.62
1806,111619.57
1807,119058.57
1808,110632.33
1809,117202.03
1810,144548.69
1811,100264.56
1812,103656.19
1813,121240.945
1814,99949.8
1815,57945.566
1816,107606.48
1817,135463.27
1818,127199.98
1819,116622.84
1820,56799.05
1821,125463.02
1822,163090.23
1823,30844.055
1824,137249.88
1825,147471.61
1826,100571.19
1827,105023.625
1828,142966.61
1829,117431.53
1830,148484.56
1831,137304.72
1832,93949.01
1833,124955.445
1834,133572.62
1835,137308.11
1836,134662.58
1837,83798.24
1838,121293.55
1839,89317.195
1840,177325.83
1841,158279.5
1842,79083.99
1843,137363.84
1844,132061.77
1845,136861.86
1846,158470.06
1847,142918.11
1848,55826.617
1849,139587.77
1850,124733.85
1851,151082.89
1852,121788.11
1853,129064.625
1854,183912.02
1855,140062.83
1856,227912.95
1857,147634.03
1858,131579.55
1859,119275.35
1860,156619.8
1861,120897.94
1862,247878.02
1863,238102.92
1864,238102.92
1865,334529.44
1866,330635.28
1867,243367.44
1868,306283.16
1869,201156.92
1870,230587.94
1871,251934.75
1872,165879.9
1873,225922.83
1874,140409.98
1875,181454.84
